index,Tweet,tag
47,@ShoojitSircar @Imangadbedi @ronnielahiri chalo then let me know who wins. Main sirf winner se baat karti hu,1
48,@Imangadbedi @ShoojitSircar @ronnielahiri kyunki I'm a very lamb I race ki horse,1
49,@Nnidhisin brother this time popcorn ke saath band baaja bhi lagega,1
50,"@Saqibsaleem hahahaha. Fringe ne jaan le li meri! New year ho gaya, ab wrap party karein???",1
51,@writish aap kataaar mein hai real hero,1
52,"Chu le aasmaan, Zameen ki tu talash naa kar Maza le le zindagi kaa , Khusiyon ki tu talash naa kar! https://t.co/LIBVS7aZmd",1
53,"Being good is difficult, but fruitful! ""Ache logo ke saath acha hota hai, aur jo bhi hota hai ache ke liye hota hai!"" #MantraForLife",1
54,I'm more of a chole chawal loving person #AskTapc https://t.co/8KarI5l9xC,1
55,"With a background score of ""ghar aaja pardesi tera desh bulaye re"" my rockstar of a team n yours truly head back ho  https://t.co/mfst3jdWjc",1
56,RT @StarGoldIndia: National College ho gaya PINK! Kya aapne dekha yeh? RT agar aap yaha hai! #StarGoldTurnsMumbaiPink @SrBachchan @taapsee,1
57,"RT @StarGoldIndia: PINK guroor hai,himmat hai,saahas bhi hai! PINK sirf ek rang nahi! Watch PINK on 23rd Oct 1pm #StarGoldTurnsPink @SrBach ",1
58,Wah wah wah! Yeh hui na baat!          https://t.co/yy1OgSC9Vw,1
59,Yaar hum kitne sundar lag rahe hai! Matlab success is shining on our faces    https://t.co/8WSCjmtt2F,1
60,@Saqibsaleem abhi Meenal ka makeover Ho gaya hai. Now I'm half Brit,1
61,@bookmyshow @foxstarhindi Ae Mamu Apne ko Bhi Ek #RanbirKapoor Joh hain Apna #Sanju Ek Jaadhu ki jhappii Dena  #SanjuOnBMS #Mumbai,1
62,@bookmyshow @foxstarhindi Aye Mamu Tension nahi leneka Jab tune apna best performance diya hai toh Picture Blockbus  https://t.co/fcDSE5lh66,1
63,RT @JabirMansuris: @bookmyshow @foxstarhindi Apna jaisa life jine ka sanju movie dekhne ka full two jhakaas! Best of luck for the sanju mov,1
64,"@bookmyshow @foxstarhindi #SanjuOnBMS   Ballu Balraam ki taraf yeah Sandesh hai ki  ""Apne is naye Thanedar ko kissi  https://t.co/TfvF8RwEsL",1
65,RT @faizan_mans: @bookmyshow @foxstarhindi Kya bhai apun  ki taraf se bole toh all dha bhery bhest   #SanjuOnBMS,1
66,RT @faizan_mans: @bookmyshow @foxstarhindi Dekh re meri taraf apun ki taraf se ekdum jhakkas wala all dha very bhest #SanjuOnBMS,1
67,"@bookmyshow @foxstarhindi Apun ne #Sanju ka trailer dekha. Bole toh ekdum ""Paani Cum Chai"" ke maafik laga apne ko.  https://t.co/UDmqbkfdkI",1
68,"RT @bookmyshow: Mumbaikars, are you ready for a fun time this afternoon? Watch this space for the super-exciting #SanjuOnBMS contest. #Cont ",1
69,USA Canada ! Swag se swagat karna padega hi aapko humara !  #DabanggReloaded @DabanggTour2018 @ZEEAmericas ?? https://t.co/vFtT94EPaE,1
70,Eid Mubarak to all my loved ones .  https://t.co/j0dYsxr9ZZ  #Race3WaaliEid #Race3InCinemas https://t.co/9zPlGpbqjH,1
71,Next level ka action .. Next level ka thrill toh next level ka Trailer toh banta hai! Enjoy the #Race3ActionTrailer ?? https://t.co/WkAUJjM8DV,1
72,"Sirf aapko yeh batane, aaj early good morning. #LoveratriTeaser out at 3pm.   @aaysharma @Warina_Hussain ?? https://t.co/IUegTntvgU",1
73,June is here aur countdown shuru ho gaya hai. USA/Canada - the #DabanggTour coming very soon near you . ?? https://t.co/AAp4CvrKF5,1
74,??Allah Duhai Hai ?  Gaane ko apni caller tune banane Ke liye  Vodafone Users Dial Karo  53710484875  Idea Users Dial ?? https://t.co/6fV1XAO6rj,1
75,Rameshji Bol rahe hai chariya Gaana hit ho Gaya hai !!!!!! ???? ????  @Asli_Jacqueline @AnilKapoor @thedeol @ShahDaisy25 ?? https://t.co/sJXfSggdyJ,1
76,Aa raha hu wapas 9 saal baad @SonyTV par Dus Ka Dum lekar. Don't forget to watch #DusKaDumTonight at 8:30 PM. https://t.co/gDOpuftYPM,1
77,Our dharmji is our dharmji ! Chalo in this special case your dharamji too ;) https://t.co/nytUC7YecK,1
78,OMG! MyLove watching the song #selfish... haaahaa https://t.co/8EkbdN7hBa,1
79,"Itni saare filmein, aur kitni saare yaadein. Aa raha hoon big screen se seedhe big stage par! Grab your tickets now ?? https://t.co/7FtqspEvxA",1
80,Buss mood Kiya tweet karneka. Toh Yeh raha Mera tweet . https://t.co/l9AADCF1jM,1
81,Intezaar hua khatam. Miliye meri #Race3 family se. #Race3Trailer OUT NOW : https://t.co/Dw8qTBR37U   #Race3ThisEid ?? https://t.co/AZr4VQqrxc,1
82,Sach Batau . We were not ready with the #Race3Trailer . Is liye itne posters banaye . But Intezar ka fal meetha hot ?? https://t.co/K4m5qbAJBt,1
83,Seeing isn ??t always believing in this #Race . Kaun kya hai pata chalega soon ! #Race3ThisEid @Asli_Jacqueline ?? https://t.co/3fSDUyMOOn,1
84,#Bharat .. welcomes u back home @priyankachopra . See u soon .. By the way humari film Hindi hai ;) . @atulreellife @aliabbaszafar #Eid2019,1
85,Jaao and visit the amazing beauty of #ArunachalPradesh - home to my buddy @matinrey_tangu ! Saath chaloge ? ?? https://t.co/7Ku9pAHF7z,1
86,Aur Yeh Hai the #Race3 family . Let the #Race begin #Race3ThisEid @SKFilmsOfficial @tipsofficial @RameshTaurani ?? https://t.co/82qVikKkYw,1
87,Is hafte milata hoon #Race3 ki family se ... mera naam hai Sikander. Selfless over selfish . #Race3ThisEid ?? https://t.co/xCGsg3P9dt,1
88,Aa rahein hain hum.. swag ke saath !  #DabanggReloaded @DabanggTour2018 @ZEEAmericas @sahilpromotions @beingbhav ?? https://t.co/Pn7ikSnlz6,1
89,. @CastingChhabra this is just the beginning . Abhi aur bahut log hume dhundne hai thru the #BeingInTouch app . Toh ?? https://t.co/8mlwaAIYId,1
90,One Less bahana for you all not to get fitter ! #BeingHumanEcycles now available on the @PaytmMall . Aur isme 5k ta ?? https://t.co/bw85pupExO,1
91,Nepal tayyar ho jao. The #DaBangg Tour is coming soon to you!  #DabanggTheTourNepal #ODCEntertainment #SalmanKhan ?? https://t.co/Sye2C52qXy,1
92,Yeh Valentines Day par wishing everyone #Loveratri . @aaysharma  @Warina_Hussain @SKFilmsOfficial https://t.co/mGiv2rCCZg,1
93,"Nothing to worry na @aaysharma ki film #Loveratri ke liye ladki mil gayi Warina, Toh dont worry na be happy na https://t.co/uetTpUKRdi",1
94,Agar pehle most talented ya pagal Manish ne mujhe sunaya hota final version toh mai he utha layta anyway best of lu ?? https://t.co/kEw6lcPjT9,1
95,Maine toh Manish k kehne par aise he post kardiya tha  ??Bhai post karo  Bhai post karo ?  lekin I cant believe that th ?? https://t.co/C059H4o4A0,1
96,Ab Birthday hai toh mere loved ones ke liye kuch special toh banta hai . Rush to your nearest #BeingHumanClothing s ?? https://t.co/czOo22Pf6V,1
97,Birthday ka return gift ! For all you loved ones - 52% off on all the #BeingHumanJewellery only for today #2712 . S ?? https://t.co/q0mLsKX6Qk,1
98,"Yeh saare rockstars ko thank you. Always accha kaam karte raho, Negativity ko kick aur positivity ko hug karo. Have ?? https://t.co/g4eFoQMxM9",1
99,Fashion ko welcome karo ek naye Swag ke saath . Fashion ka naya beginning . #SplashFashions . https://t.co/422gVq69mp,1
100,"Now u see me .. Now u dont, But Delhi be ready to see me tomorrow . Be there ! https://t.co/UN2e9TshQG",1
101,Delhi tayyar ho na ! we are on the way to meet you .   #dabanggtournewdelhi #redrocksentertainment #jlnarena ?? https://t.co/HrZuQWDQql,1
102,Inke Aane se Race3 ka cast aur ho gaya jhakas @AnilKapoor @RameshTaurani #Race3 https://t.co/tPA5hxsBuK,1
103,"Baki sab toh Theek Hai but look at how hot, cool, sweet, charming &amp; sexy is rameshji looking in this Race 3 ke team ?? https://t.co/RgMSY9VRzh",1
104,Diwali Gift.... pasand aaya? Ab Christmas pe milna... #tigerzindahai https://t.co/ZRReba4oGQ,1
105,Tigers bahut kam Zinda Hain ??...Bina baji my mother frm  ??Maine pyar kyun Kiya ?? has written n shot amazing pics in d ?? https://t.co/Fc2gfd4RhS,1
106,Congrats @aaysharma Now is the time for a lot of mehnat aur lagan. Wish you all success God Bless #AayushSharma,1
107,"sirf 9-10 se mila hu, i m sure 128 cr ki population k andar 28 cr to aise hone chahiye. #5YearsOfBeingHumanClothing ?? https://t.co/5hRLXWxAog",1
108,"Yakeen ki ek aisi kahaani jo karegi zindagi mein full light! Don't miss #TubelightOnStarGold,2nd Oct at 1 PM. ?? https://t.co/ZJO5AhMLPZ",1
109,The first talent we r looking for is d female lead for SKF's next venture. All the best jaldi se profile bhejo https://t.co/bfKZmyAHox (3/3),1
110,Modiji wishing you a very happy birthday . @narendramodi,1
111,Mere PRDP ke Bapu has made this film. Please watch .  https://t.co/QC8TPet8NW,1
112,"Yeh dekhiye, yeh lijiye, Heaven on Earth, Kashmir. Love and Peace   https://t.co/gMdtHlZEGX",1
113,Make a difference by being an active participant of the #RallyforRivers movement. Give a missed call aaj..abhi! https://t.co/mFyRLLRmyZ,1
114,Damdaar ban jaao.. Dekh Ke Aao.. Hanuman Da'Damdaar.. in cinemas nowww! #BeDamdaar @hanuman_damdaar https://t.co/IAFfZmSOxM,1
115,#NaachMeriJaan Laxman aur Bharat ke saath Celebrate Bhaihood https://t.co/2Y8mCUoZZ0 @SohailKhan @sonymusicindia @kabirkhankk,1
116,.@kabirkhankk Twitter ko full light kar dega ab yeh #TubelightKiEid emoji! @TubelightKiEid @amarbutala @TwitterIndia https://t.co/4lsnGhXGaj,1
117,My Mother will select 5 lucky winners who will get a lovely hamper. Jaldi Karo the contest ends at 6:00 PM today #BeingMom,1
118,Hai Hai!! Bas only 1 day to go!  #TubelightTeaserTomorrow @TubelightKiEid @amarbutala @kabirkhankk @SKFilmsOfficial ?? https://t.co/DQEN0yEFov,1
119,Don't follow rumors . follow me . ek baar jo maine commitment kar di toh phir...... vry much doing film with @akshaykumar,1
120,In Workers ke liye 'Thanks' toh banta hai .  https://t.co/XjYwe2rSJR,1
121,Aa gaya mera Hero . Mera Partner . Superb Trailer . Link : https://t.co/89RR6AlqFv,1
122,Get ready . Aa raha hai bada surprise ! #ComingSoon #BirthdaySurprise .,1
123,Retail Se yaad aaya ke kuch gaane tailormade hote hai.Nice to c brothers singing in one tune @MikaSingh @dalermehndi https://t.co/bQUXK2By6Q,1
124,.@iamsrk ki film aa Rahi hai . Date Maine decide kar di hai . Title tum log decide kardo . Best of luck ?? https://t.co/mZiiN6KGEF,1
125,"I'm going to tweet at 7pm today, Ek Baar jo maine commitment kar di ... too much fun !",1
126,After oh oh Jane janaaa comes this gaana. Amazing single by Kamaal Khan. https://t.co/yU124Kb2fo,1
127,My son n my jaan https://t.co/6AX39JLz9w,1
128,"Congratulations Murad Bhai for winning the Yash Bharti award, the highest award in UP https://t.co/UNNetWdS3m",1
129,Chedi Singh umeed karta hu #TutakTutakTutiya super hit hogi . Warna hum itne ched kar denge ki ... ! @sonusood wish u luck .,1
130,"Haha!Godbless @salmansagarpan1 @RajuRahikwarsrk #DevasishAK Bade hoke jhagda mat karna, aur kiya toh makeup kar lena https://t.co/Bs8JQdBzCp",1
131,"Saw the trailer of Banjo, Ritesh and Nargis are outstanding. Abh Yeh deko . #ThankGodBappa now with #HindiSubtitles  https://t.co/ejz3zRAwL9",1
132,Uper walla body builders ki kher Karen @AnupamPkher https://t.co/qxjNWeQLwo,1
133,Radio Nasha 91.9 pe tune Karo every sat-sun 4pm on 'The 70mm Show' with @luvsalimkhan .. aur enjoy Karo ! https://t.co/Of5W2jANFW,1
134,Hello Brother! Jai Ho my Partner @sohailkhan,1
135,Wah yaar @Shekharravjiani is doing a tribute to his teacher Shri Jagjit Singh in Singapore at the Esplanade on 9 Sep https://t.co/ptp8m1pzBm,1
136,"Apna version jo 12volt ka tha, that now sounds like 6volts ka????lekin ye smile toh hai 440volt ka.Only for u guys.Njoy https://t.co/jHDdniZI03",1
137,Ek baar maine commitment kar di Toh... So suno jag.... in my voice . #JagGhoomeyaSalmanVersion  . Link: https://t.co/wcjfVFpy0D,1
138,Do din buss = ). Itna toh wait karhi sakte ho till then enjoy Rahat .,1
139,iss saal 8may ek cup chai peelo n support those fighting cancer https://t.co/8pJDNDhJAH @friendsofmax @vijivenkatesh https://t.co/QujkoPJQSg,1
140,they hv started this thing k chai peeo aur uss ka paisa vil help them help others .,1
141,"Great initiative by BMC for waste management,couldn't attend this exhibition with my bandraite's.. Yaha Jaana zaroor https://t.co/tE9XqvfZJY",1
142,RT @luvsalimkhan: 1/3: Mohan Bhagwat has said we have to create an India so great that people will themselves say Bharat Mata Ki Jai.,1
143,"RT @luvsalimkhan: 3/3: change is growth. Bharat Mata Ki Jai. -Luv, Salim Khan",1
144,RT @luvsalimkhan: 2/3: Salaam Bhagwat Saab! Lot of people say with pride that they haven't changed. That means they are not growing.,1
145,Kya baat hai ! Jackie Baby aur Sooraj Baba. Gf Bf . Amazing song,1
146,Surat kem cho ! I am coming to ur city tomorrow for Da- bang! Chalo jaldi tickets book karo! Will see u all soon .,1
147,"Watching rocky 1 now,  tana taaa tanaa taa tanaa taa Tanna ttaaaaa  @theslystallone Is aadmi se seekho yeh hai hero https://t.co/2Twf1FZmuo",1
148,Jaaaa ooooooo bacchoon ko le kar n enjoy karo. Bus pe dikha toh pic lekar tweet kar raha hoon. https://t.co/yfpDBdBpvQ,1
149,Thank u for ur bday wishes . Means a lot to me . Aur yeh raha aapka return gift https://t.co/VppaFKq7d7,1
150,Mere makhi bhaiya aur Munni bhabi  ka show #PowerCouple dekhna na bhooliye . https://t.co/HhehL8TEML,1
151,Vo Khush naseeb hai jinki family hoti hai! #MyPRDPFamily https://t.co/AvwGFRdUf8,1
152,Sunny Deol is back once again . Ghayal ! https://t.co/7HU0CaWjK2,1
153,"Was watching promo of Pyaar ka punchnama, hahahah! Glad to see @sonnalliseygall, did the thumsup advt vit her sm time ago. happy for her.",1
154,"PRDP is for everyone with family &amp;wanting to have one. Sabke Families mein problem hoti hai,lekin woh khush naseeb hai jinki family hoti ha",1
155,Kick n bajrangi bhaijaan k baad nawaz ki film Manjhi release hogayi hai aaj wishing  @Nawazuddin_S n the team all the best n a big hit.,1
156,By popular demand . Schedule se ek din pehle . Dekho full gaana sirf hotstar par abhi . http://t.co/1I2NI5xfn6 #MainHoonHeroTera,1
157,Kalam saab was an amazing teacher and also an amazing student . Yeh dekho .  https://t.co/dJvMBuz9F7,1
158,I will miss Kalam saab . India will miss him . https://t.co/dAq8FMcnVL,1
159,"ek scientist tha, hai aur rahega . His teachings will always be with us .",1
160,RAEESSSSSSS ah raha hai. Filhaal teaser  dekho aur enjoy karo behaad,1
161,"Oh ho oh ho  wat an amazing play @anupampkher is fantastic in it, it's jst superb n now he is showing in U S frm the 7th august , must watch",1
162,"My dad strongest. Salim khan(dullu) urff prince Saleem the original bajrangi bhaijaan, happy father's day daddy. http://t.co/UShuo4vHPQ",1
163,Teaser. Gaana. Trailer. Ab ek aur gaana. Filled with Romance. Aapke liye http://t.co/db6OI3fiJd,1
164,Challo tweets khatam. So jao ya appna kaam karo. B happy,1
165,"don't waste your time n energy on this stupid negativity or even the compliments, go n make your own life n b happy. Kasaam se",1
166,"I wld b the happiest man if u have no time to follow me, b on twitter, reply, etc  n make your life n b your own hero. Yeh Sab jhoul hai",1
167,Accha laga mtg the wndrful ppl at the Indian embassy yahan Dubai main .,1
168,Agar kisi ko follow karna hai? Bahar ka... inko follow karo  @TheSlyStallone  Aapke Hero ka hero Sylvester Stallone,1
169,Kamaal karte ho Varun Dhawan...made ur dad n me so proud of u... happy Shhuddhi http://t.co/DfQtSEqcpo,1
170,KASHMIR bahut AMEER in natural beauty... Maashallah  Maashallah http://t.co/y6r6n78rTv,1
171,Kashmiri sev se sweeter hai Kashmiri bachhe http://t.co/5JtWGYsdc9,1
172,All those who prayed for and supported me thank u meherbani shukriya .,1
173,"N sorry, sonakshi devi too, she also had a small part to play in me joining twitter n counting followers. Thx dubli patli sonakshi devi.",1
174,"Swachh Bharat ke liye ab tak jo nominated hai, did you send pics / videos ?  Send it here . cleanindiawithsk@gmail.com",1
175,Here it is - mera naya Suzuki Gixxer SF . Can't take my eyes off it... #SuzukiGixxerSF http://t.co/rC4Oc3JLMu,1
176,"Jaldi mat jawaab do. Aaraam se, time lay k, sooch samaaj k. Galat jawaab Dena. Ok?",1
177,Hindustan k peoples  mai hai bada dum  VANDE MATARAM .,1
178,Dolly ki doli Mouth publicity se  collections aaj  have picked up. Glad u guys hv liked the film n spoken abt it.Wah yaar kamal karte ho aap,1
179,The whole bajrangi bhaijaan team watched the movie in a theatre close to us abt 35 km frm us n v loved it . Ma kasaam,1
180,Hamare Makhi Pandey ki film Dolly ki Doli ka trailer aaj doopahar Ek baje aa raha hai. Dekhna toh banta hai !!!,1
181,Wah yaar! Kamaal karte ho mr varun ! Badlapur ? Already tryin diff stuff :) ? Film lookin good. Baap ka record tord do jaldi . Happy fr u .,1
182,I once again thank @narendramodi for taking up the Swachh Bharat initiative and nominating me.,1
183,@Bhuvan_Bam mere nahi....#Hamare favourite sir ki movie ka triler bhuvan bro,1
184,"#Hamare Dil Ki Umeedon Ka H0sla To Dekho,  Aye D0sto'  Yad B Un Ko Karta Hai Jin K Zehan Mein Kbi Hamara Khayaal Ta  https://t.co/0zpkuLXGW9",1
185,"RT @DeviCha10252393: @Sudhainsan18 @ImVicky_insan #Khuda kaise karoon #shukriya iss din ke liye,!!!!!! tumhe #dharti pe bheja #hamare liye! ",1
186,"#pyar  k  Liye @Dil,               #Dil  K  Liye  Aap  Aap  K  #Liye  Ham    https://t.co/oup0cUzeax",1
187,#Bologuruji guruji kya aap ne kabhi socha tha ke aap ka channel India me top hogan. Luv u guruji plz reply,1
188,#BoloGuruji Hlo Bhai maraa saval hai ke abhi mara pass 4g phone hai magar jab 5g aye tab fir se new phone lanaa padanga and love u bhai,1
189,@TechnicalGuruji Love you guruji kanpur meet up kab kab???? love your new look please up the question... #Bologuruji,1
190,#Bologuruji which phone to buy Huawei p20 lite or Moto g6 other love your videos and love you bhai,1
191,#BoloGuruji Please start a gaming channel I would love seeing some gameplay videos by you by the way love your videos,1
192,#BoloGuruji aapki har video amazing hoti love u bhaiya,1
193,#Bologuruji HII BRO. I AM SUBSCRIBED YOUR CHANNEL WHEN YOU HAVE 500K+ SUB'S. AND MY QUESTION IS I AM A STUTTERED PE  https://t.co/onePshBJqn,1
194,Hello Gaurav bhai love ur video koi bhi video miss nahi krta apki and plz muucch hta do aap and mera qus ye h ki ma  https://t.co/TRqFj5otUR,1
195,Hahaha #Bologuruji muche acchi nehi hai  Clean kardo please #Technicalguruji https://t.co/v7vopz5aOR,1
196,@AsaramBapuJi Bapujii ke sabhii ashramo se sabhii sewa karya lagataar kiye ja rahe h sadhuwaad h sabhii sewadhariyoo ko #BoloGuruji,1
197,@AsaramBapuJi Bahut sunder baat #BoloGuruji,1
198,#BoloGuruji  Guruji aap to camera me dikh gai ... Hahahahaha https://t.co/cSSJnDdpo8,1
199,RT @ankitcrazytech: #BoloGuruji Kya Baat Hai Guruji Video To Kati Zeher Hai Zeher https://t.co/tPUEr9dCoU,1
200,@TechnicalGuruji   #BoloGuruji kabhi mera sawal pick nahi karte ho ek baar toh kar lo by the way mera sawal ye heah  https://t.co/g6N7JpOCOU,1
201,Looking awesome guruji....#Bologuruji https://t.co/k5bqSLABcO,1
202,#BoloGuruji Guruji aap Akola Maharashtra ko aao please,1
203,#BoloGuruji Guruji aap kiya kam korte ho. Bata o mujhe and love you bhai. I like your video so much.,1
204,"@TechnicalGuruji  #Bologuruji  Kaise ho gaurav bhai,  Aapka naya look ko maine naya name diya h ( technical mario)   https://t.co/qpEoBf3Wwf",1
205,#BoloGuruji guruji app se ye kuch Sawalha hai ki app kise ko Twitter pe follow kyu nhi karte ho aur na hi karte ho  https://t.co/vQPXEtPiBP,1
206,Konsa phone best hoga sir ji in teeno mein  1.Asus zenfone max pro m1 2.Redmi y2 3.redmi note 5 Aap hote to konsa lete #bologuruji,1
207,@technicalgruji #Bologuruji hi bhai aaja to dari katke hero lag rege ho,1
208,@RNSanodiya @SriPundrik Media ka kaam h bhaukanaa to usko uskaaa kaam krne do hmara kaam h bapujii ko mananaa to hm  https://t.co/cAcrv3AqPc,1
209,@TechnicalGuruji Asus ROG phone ke bare me video banaiye please... Love you as technology Master I never Missed your video  #BoloGuruji,1
210,@TechnicalGuruji Bhai best phones of all ranges ki video kb aa rhi h aapne bola tha ki m jldi hi next video leke aa  https://t.co/VbCXxbhjMY,1
211,@TechnicalGuruji ye look suite nei kiya      Btw @emNikhil bhai looking hot    #technicalguruji #mumbaikarnikhil  https://t.co/4sbi6hFiyc,1
212,@PoonamThakur111 @Shankaracarya36 Satyaaa kii jeet awashyaaa hogiii #BoloGuruji,1
213,@TechnicalGuruji bhai hogaya @emNikhil bhai ke vlog mein dikh gaya    bohat sahi lag rahe ho.....love u both  https://t.co/ZlUnoupDD5,1
214,#Bologuruji Bhaiya ji kya kisi file ko bar-bar share karne se uski quality kharab ho jati hai kya???? kisme sabse j  https://t.co/xPgEyA6KjV,1
215,"@TechnicalGuruji @YouTubeIndia Mooche Ho Toh Gaurav Chaudhary urf Technical Guruji Jaise Ho, Warna Na Ho... @gaura  https://t.co/tiXe2CFNiq",1
216,@AsaramBapuJi Bapujii aapke saanidhyaaa me bitaye huye wo din bahut yaad aate h #BoloGuruji,1
217,@TechnicalGuruji Bhaiya aap udaipur rajasthan bhi meetup kro..Aapse milne ke bahut iccha h.. #bologuruji,1
